plate,mjd,fiber,orig_label,corrected_label(-1:followup_-2:bal_-3:subdla)
3781,55243,492,0,0
4800,55674,677,0,0
4786,55651,652,0,1
4231,55444,434,0,-2
4992,55723,661,0,1
4386,55540,544,0,1
4043,55630,406,0,-2
4017,55329,730,0,-2
3679,55209,36,0,0
4007,55327,518,0,1
4718,55750,970,0,1
3775,55207,505,0,-2
3832,55289,560,0,-2
4242,55476,728,0,1
4062,55383,903,0,-3
3853,55268,356,0,1
5029,55750,592,0,0
3930,55332,466,1,0
4006,55328,486,0,1
4215,55471,676,0,-1
3667,55566,666,0,-2
4191,55444,124,0,-3
4220,55447,854,0,-3
3848,55647,908,0,1
3857,55272,986,0,1
4557,55588,493,0,0
4442,55532,976,0,0
3697,55290,472,0,1
4693,55632,220,0,-3
4794,55647,763,0,-2
4292,55532,926,0,1
4772,55654,898,0,-2
4832,55680,870,0,-2
3698,55501,154,0,1
4503,55563,614,0,0
4351,55538,260,0,1
4953,55749,407,0,0
4068,55445,660,0,0
4053,55591,904,1,1
4562,55570,632,1,1
4258,55481,738,1,1
4058,55358,250,1,1
3966,55571,142,1,1
4036,55330,14,1,1
3777,55210,758,1,1
4278,55505,694,1,1
4698,55623,580,1,1
4498,55615,716,1,1
4738,55650,686,1,1
4302,55531,211,1,1
4308,55565,174,1,1
4449,55544,46,1,1
4505,55603,340,1,1
3960,55663,254,1,1
3673,55178,26,1,1
4601,55589,294,1,1
4775,55708,320,1,1
4878,55710,880,1,1
4014,55630,470,1,1
4005,55325,606,1,1
4631,55617,479,1,1
4372,55541,266,1,1
3876,55245,405,1,1
3925,55338,881,1,1
4710,55707,574,1,1
3787,55565,552,1,1
4008,55356,22,1,1
4734,55646,786,1,1
4736,55631,510,1,1
4892,55738,252,1,1
4389,55539,620,1,1
3803,55513,650,1,1
4486,55588,644,1,1
4799,55656,120,1,1
3817,55277,851,1,1
4632,55644,394,1,1
4055,55359,856,1,1
3831,55543,68,1,1
4881,55733,330,1,1
3845,55323,18,0,1
4690,55653,897,1,1
4448,55538,366,1,1
4198,55480,376,1,1
4856,55712,318,1,1
4286,55499,456,1,1
4755,55660,314,1,1
3782,55244,708,1,1
3667,55566,880,1,1
3686,55268,196,1,1
4304,55506,756,1,1
