ix96629, plate, fiber, Z_START, Z_END, RA, DEC
0,1825,585,2.209596,2.595007,214.139060,7.753843
1,1386,188,2.288140,3.348476,229.107030,32.868866
2,1020,144,3.538897,3.557792,188.765600,54.168699
3,559,45,2.200000,2.482909,156.310640,58.297165
4,848,152,2.200000,2.618846,194.203550,4.347519
5,1568,14,2.200000,3.279721,253.846210,18.785677
6,1379,199,2.498246,3.575562,211.104820,39.251263
7,2112,229,2.200000,2.503976,200.667740,32.465077
8,1168,480,3.026710,4.098767,236.528310,46.937390
9,2147,573,3.033205,4.303925,161.646860,9.927664
10,749,177,3.209692,4.190006,358.434420,14.590347
11,1275,470,2.200000,2.807352,143.054220,37.062349
12,723,433,2.540384,3.520241,341.381010,-8.995757
13,1929,28,2.454223,3.381978,129.612250,22.466394
14,2095,245,2.200000,2.949041,180.026060,31.441907
15,1643,456,2.222184,2.671979,213.328590,37.324407
16,1430,327,3.241801,3.283988,157.116430,40.438435
17,1929,40,2.286626,2.990829,129.982630,22.704427
18,1436,257,3.084608,4.012093,164.640870,44.531445
19,271,345,3.994021,4.348663,153.954180,0.338888
20,557,7,2.307885,2.360129,149.668390,56.112508
21,305,479,2.200000,2.868910,216.790900,0.247288
22,571,377,2.655530,3.593461,147.427560,4.630575
23,508,520,2.200000,2.497937,166.048450,2.782047
24,999,136,2.200000,2.812005,158.207870,5.688427
25,1466,158,3.108188,4.043991,208.977310,45.072502
26,887,47,2.327747,2.766544,197.252100,50.683784
27,1822,235,3.061162,3.967325,238.677200,4.922396
28,2011,605,3.076152,4.038764,196.500210,29.559976
29,2096,19,3.442734,4.364651,159.830350,34.751272
30,1018,246,2.646283,3.677839,180.902450,53.998096
31,794,286,2.592943,3.519231,228.678070,53.403348
32,2098,576,2.833102,3.839625,174.285400,34.747819
33,1978,177,2.383377,3.371078,202.856810,28.611436
34,1575,359,2.200000,2.416619,243.686870,25.606041
35,915,111,2.200000,2.893640,211.158100,-2.360412
36,983,459,3.141430,4.245762,313.319880,0.989152
37,852,205,2.758810,3.961643,201.340230,3.559963
38,1383,304,2.200000,2.902125,220.798290,35.779546
39,988,565,3.454001,4.075819,323.622800,0.521772
40,748,144,2.221442,2.968266,356.559420,14.339529
41,1945,305,2.200000,2.319916,145.328960,32.859018
42,436,144,2.955946,4.118300,119.387060,44.240186
43,573,394,2.200000,2.599611,150.922940,4.115061
44,793,519,2.536310,3.612717,228.326880,54.974912
45,469,117,2.361633,3.191620,135.516030,0.990776
46,1400,414,2.307885,3.022588,230.441060,37.878426
47,2089,404,2.200000,3.052991,181.779150,35.156190
48,461,36,2.317037,2.604352,54.340567,-7.150514
49,1865,364,2.924193,3.968958,111.496060,43.384390
50,1344,321,2.243025,2.405867,202.138360,44.455824
51,1602,26,3.175902,4.284709,164.737880,11.024614
52,1402,47,3.331620,4.346723,235.918270,34.295679
53,1642,150,2.200000,2.629667,211.022400,36.935448
54,1187,37,4.027480,4.409964,131.215530,5.307727
55,1379,419,3.299821,3.900500,211.096010,40.086399
56,636,135,3.063969,3.956000,313.789550,-7.296839
57,394,247,2.474164,4.278353,12.526473,-0.888683
58,1287,287,2.991631,4.259741,214.632100,44.827097
59,951,219,2.211814,2.551467,169.164130,57.993089
60,542,118,2.251999,2.705976,116.619410,34.713447
61,949,629,2.948665,3.825003,166.004360,58.272607
62,581,152,2.200000,2.371643,166.968320,4.867245
63,981,84,2.243025,2.443774,310.645650,-0.528933
64,1933,149,2.200000,2.523836,134.370430,25.249035
65,1434,186,2.954125,3.858682,162.204410,44.654363
66,2025,497,2.200000,2.900917,161.245810,34.624220
67,875,635,2.364731,2.834448,161.421990,49.752192
68,751,562,3.140477,3.456426,1.878445,16.125697
69,1869,478,2.200000,2.392443,118.393870,51.395367
70,886,116,2.200000,2.483186,193.905560,52.039166
71,1438,234,2.239294,2.574227,167.475520,46.111748
72,383,592,2.643765,3.622597,351.824840,0.096077
73,1381,183,2.240786,2.693700,216.480110,37.650198
74,973,140,3.077090,4.323042,255.702320,31.679996
75,1936,159,2.433605,3.555742,137.917830,29.121564
76,493,246,3.005441,4.008043,181.164270,66.597164
77,1311,496,2.200000,2.308144,175.714670,57.493797
78,1583,244,2.914266,3.778146,118.478950,19.610974
79,1402,47,3.331620,4.346723,235.918270,34.295679
80,2000,441,2.340030,2.806204,190.215610,39.390836
81,1224,206,2.514393,3.778453,173.901690,8.705256
82,1448,297,2.200000,2.904619,179.946260,41.616423
83,961,270,2.546911,3.292105,156.578350,46.245900
84,560,559,2.200000,2.947308,158.879870,59.796420
85,1466,158,3.108188,4.043991,208.977310,45.072502
86,390,271,3.171097,4.274205,4.958558,-0.677994
87,1360,171,2.200000,2.240607,157.780660,41.215023
88,1402,47,3.331620,4.346723,235.918270,34.295679
89,1436,476,2.747575,4.085778,164.484520,45.931415
90,557,7,2.307885,2.360129,149.668390,56.112508
91,943,309,2.402909,3.118945,150.691050,45.020175
92,435,489,2.200000,2.382929,118.898430,40.967521
93,1381,261,2.394301,3.351614,215.988980,37.278397
94,1275,470,2.200000,2.807352,143.054220,37.062349
95,1811,549,2.200000,2.832884,216.015950,9.231059
96,794,391,2.558364,3.653574,229.652910,54.348988
97,965,399,2.683412,3.167247,168.644270,49.352747
98,359,285,2.493416,2.680919,260.032650,52.595599
99,515,51,2.200000,2.590453,178.931730,1.739091
100,1158,355,2.858783,3.951020,206.639660,58.419219
101,1744,368,2.731216,4.020983,149.904660,13.204304
102,538,322,3.405045,4.425289,222.783090,2.937678
103,961,134,2.230356,3.180988,157.286650,45.860939
104,1690,342,2.426497,3.844021,251.104090,27.693491
105,973,140,3.077090,4.323042,255.702320,31.679996
106,512,280,2.290412,3.313054,171.438240,2.197233
107,720,158,3.451951,3.556723,336.084910,-8.894078
108,551,410,2.917873,4.156078,133.113690,50.753001
109,1837,195,2.685958,3.806262,240.277440,4.592922
110,1929,28,2.454223,3.381978,129.612250,22.466394
111,1839,318,3.229123,4.404430,211.263710,33.697188
112,293,15,2.406045,2.666802,195.590860,-0.777266
113,1277,243,2.200000,2.505719,147.780850,37.710413
114,1824,226,2.786608,3.830408,211.370890,6.587225
115,1811,84,2.225896,2.490532,215.503880,7.674714
116,2085,429,2.233332,3.196452,132.416200,23.858100
117,1049,576,2.201477,2.952021,226.187130,48.206298
118,1851,502,2.200000,2.495611,240.552520,24.169614
119,266,280,2.200000,2.510263,145.496120,-0.264574
120,455,546,3.040642,3.972602,39.847803,-8.168092
121,962,628,2.392738,3.378226,162.094260,47.710605
122,550,145,2.217736,2.667158,130.566180,47.713569
123,953,584,2.634547,3.473285,179.268680,60.204941
124,1689,129,2.895385,3.748357,257.039400,21.286866
125,1616,472,3.136665,3.165910,188.917500,12.605769
126,2096,437,2.843708,3.984383,158.484220,35.962540
127,1435,570,2.417829,3.163643,164.799500,41.030893
128,598,307,2.243772,3.103322,175.530840,64.756733
129,914,631,2.563283,3.056476,209.823720,-1.862775
130,1743,258,2.200000,2.452239,147.711780,11.527731
131,988,565,3.454001,4.075819,323.622800,0.521772
132,2096,19,3.442734,4.364651,159.830350,34.751272
133,951,117,2.200000,2.317431,171.267400,58.822267
134,1316,298,2.200000,2.532231,186.328490,56.638226
135,1199,511,2.200000,3.049912,135.666220,39.957453
136,978,548,2.455018,3.535081,259.269410,30.658674
137,758,77,2.254246,2.298848,121.660250,36.509684
138,1010,104,2.205165,2.653209,162.777760,52.186574
139,1187,37,4.027480,4.409964,131.215530,5.307727
140,1645,61,2.548545,3.601579,219.614870,34.702780
141,289,475,2.965065,4.088253,186.741530,0.160654
142,276,172,3.072399,4.250187,163.335120,-0.280443
143,1329,385,2.200000,2.621668,224.146940,50.360096
144,1591,187,2.320094,2.776632,136.729260,30.605929
145,1295,126,3.286969,3.885472,122.507340,5.326798
146,1612,372,2.490200,3.506975,182.345060,12.963412
147,1762,484,2.200000,2.957317,177.938610,15.281083
148,1420,249,3.429455,3.494422,244.737010,30.239485
149,991,161,2.851681,3.994164,140.542740,4.964438
150,1166,130,2.881060,3.318053,231.497940,48.980050
151,906,405,2.524929,3.646357,160.658360,56.300578
152,722,345,2.200000,2.307055,338.411170,-8.648078
153,1373,563,2.907062,3.368919,193.329610,45.698027
154,1383,488,2.958679,3.263356,222.185750,36.517567
155,862,128,2.200000,2.393799,125.090610,32.127142
156,1929,28,2.454223,3.381978,129.612250,22.466394
157,512,280,2.290412,3.313054,171.438240,2.197233
158,973,140,3.077090,4.323042,255.702320,31.679996
159,1402,47,3.331620,4.346723,235.918270,34.295679
160,295,300,2.912464,4.106945,197.718810,-0.925896
161,1944,142,2.715783,3.750149,145.462100,27.943250
162,2085,476,4.010146,4.444466,132.932200,23.535826
163,895,576,2.200000,2.444804,129.642980,41.810753
164,1297,594,3.209692,4.379947,129.232540,6.684623
165,1370,331,4.099767,4.178323,181.867720,44.920344
166,1341,171,2.957768,3.914687,250.595610,32.286218
167,2027,161,2.624519,3.729072,179.103180,37.889492
168,838,422,2.200000,2.362842,174.895690,5.640855
169,1402,47,3.331620,4.346723,235.918270,34.295679
170,1339,599,2.200000,2.524509,249.900420,34.248077
171,538,219,2.200000,2.616727,223.520910,0.473026
172,1709,514,3.187457,4.089936,218.253720,10.507717
173,1824,60,2.200000,2.544012,212.064950,6.006467
174,293,15,2.406045,2.666802,195.590860,-0.777266
175,1227,387,2.691904,3.852881,177.772640,10.661462
176,2103,470,3.156716,4.319735,180.088110,36.323933
177,929,175,2.200000,2.303798,120.027490,26.848520
178,592,302,2.966892,4.022993,230.688300,2.762173
179,1824,403,2.200000,2.993462,211.503980,7.421813
180,1866,240,2.370935,3.390878,113.136630,43.916787
181,900,509,2.200000,2.309976,141.479380,49.060625
182,1229,639,2.200000,2.392275,183.581020,10.076056
183,397,382,2.753620,3.661049,17.094594,0.196657
184,978,548,2.455018,3.535081,259.269410,30.658674
185,1969,523,2.538754,3.662732,160.739710,31.017610
186,1371,183,2.462186,3.346684,185.838600,44.324954
187,1944,75,2.304839,3.072335,145.905380,28.026666
188,776,481,2.549362,3.735447,174.340480,62.618673
189,1284,624,2.504696,3.765504,208.294850,48.378701
190,650,605,2.200000,2.398561,1.100686,-8.846649
191,1370,331,4.099767,4.178323,181.867720,44.920344
192,2036,62,2.200000,2.234439,174.058490,37.322284
193,1459,349,3.035063,3.892085,195.199320,47.910943
194,873,6,2.200000,2.642141,156.512050,47.655899
195,439,528,2.818127,4.023280,122.728680,46.066075
196,551,410,2.917873,4.156078,133.113690,50.753001
197,416,75,2.200000,2.311708,56.149849,-0.257654
198,1668,127,2.200000,2.800511,202.622460,49.907632
199,1380,197,3.126201,3.478958,214.030370,38.531560
200,313,300,2.200000,2.894987,230.332010,-0.805187
201,2084,502,2.226639,2.677652,130.733040,22.575545
202,663,375,2.200000,2.530588,24.351799,-8.405511
203,529,430,2.200000,2.485820,205.493520,2.913427
204,1678,194,2.410754,3.081018,229.904130,42.018057
205,1982,601,2.920580,4.132368,159.922940,34.222137
206,971,120,2.827810,3.656337,187.728420,49.907483
207,600,579,2.200000,3.343120,189.172790,65.911704
208,1681,514,2.200000,2.322272,238.479600,37.978925
209,777,102,2.200000,2.313401,178.921590,61.862664
210,973,140,3.077090,4.323042,255.702320,31.679996
211,1313,567,2.297998,3.379790,180.639160,58.083848
212,490,114,2.211074,2.651655,165.948240,65.763509
213,1744,368,2.731216,4.020983,149.904660,13.204304
214,901,504,2.381040,2.853338,144.239710,50.099556
215,644,304,2.200000,2.553159,326.824510,-8.490833
216,1323,101,2.200000,2.906154,210.189740,54.875523
217,1355,471,3.069587,4.137466,233.913170,33.975228
218,997,92,2.417829,3.478354,154.576890,5.806347
219,1952,37,2.246014,2.856634,153.746960,32.161620
220,2019,194,2.297998,2.960891,160.008430,31.697196
221,2095,245,2.200000,2.949041,180.026060,31.441907
222,1315,143,2.200000,2.950843,185.016500,56.974166
223,1767,8,2.389615,2.863218,186.704460,14.028679
224,1571,633,3.010979,3.571246,250.478720,22.629328
225,2112,562,2.200000,2.521133,201.763600,34.222707
226,586,635,2.918775,4.236031,220.322760,3.986262
227,726,481,2.200000,2.634587,347.807740,-8.978827
228,753,310,3.210662,4.179274,4.557871,14.415463
229,394,247,2.474164,4.278353,12.526473,-0.888683
230,1193,430,2.200000,2.755337,137.865070,5.848365
231,1985,221,2.200000,2.276682,191.008410,40.278435
232,1289,157,2.234077,3.127181,221.595870,43.719091
233,1440,128,2.405261,2.869484,170.203080,40.597037
234,1829,131,2.303318,2.522410,221.475350,5.410570
235,1735,45,2.200000,2.992670,114.584550,41.454444
236,2096,19,3.442734,4.364651,159.830350,34.751272
237,494,265,2.200000,2.879424,187.057160,66.821848
238,1283,452,2.200000,2.773821,203.847400,49.109738
239,956,140,2.200000,2.785621,188.956060,59.174171
240,288,404,2.371711,2.762475,184.834440,1.126740
241,359,377,2.550180,2.614668,260.371250,54.125154
242,1329,359,2.200000,2.366198,223.257030,50.377239
243,396,454,3.081787,4.394748,16.580184,0.806495
244,1401,237,2.381040,3.095333,232.478620,35.639545
245,1009,20,2.313221,3.342298,160.733200,51.493418
246,1936,61,2.395864,3.181483,138.412370,29.215176
247,930,209,2.227382,2.844239,122.027580,28.263262
