plate,fiber,ra,dec,z_qso,spectrum,rest_frame,dla_z,column_density,std_column_density,dla_confidence
269,467,151.118490,0.307115,3.054404,4303.283913,1061.385074,2.539845,20.945238,0.098870,0.937500
269,467,151.118490,0.307115,3.054404,4480.226804,1105.027220,2.685397,20.953097,0.086509,1.000000
273,631,159.053940,0.183343,2.989319,4775.292737,1197.019500,2.928116,20.394964,0.054716,1.000000
274,172,160.167230,-0.261359,4.326558,5524.589326,1037.178082,3.544481,20.471255,0.045352,1.000000
274,390,159.700510,0.798191,3.752776,4640.876378,976.455964,2.817546,20.535448,0.072893,0.637500
275,538,161.895780,1.032522,3.721813,5133.339644,1087.154380,3.222642,20.610365,0.055538,1.000000
276,313,162.155850,-0.470466,4.014242,5940.185400,1184.662646,3.886347,20.478663,0.092630,1.000000
278,203,167.057770,-0.995702,4.031020,4978.517064,989.564124,3.095287,20.718165,0.070387,1.000000
278,215,167.079830,-0.973320,4.575846,5891.148903,1056.547956,3.846010,20.341143,0.086317,1.000000
278,215,167.079830,-0.973320,4.575846,6105.201468,1094.937209,4.022088,20.483356,0.110008,1.000000
278,215,167.079830,-0.973320,4.575846,6440.209571,1155.019229,4.297663,20.468918,0.187078,0.400000
278,215,167.079830,-0.973320,4.575846,6594.775259,1182.739808,4.424807,20.627211,0.058403,1.000000
278,584,168.100770,0.775100,4.047632,5830.422138,1155.080617,3.796057,20.321265,0.107488,1.000000
278,584,168.100770,0.775100,4.047632,6011.737375,1191.001467,3.945205,20.544933,0.091961,0.812500
280,447,170.722920,0.891613,4.581201,5657.180035,1013.613371,3.653549,20.468983,0.060765,1.000000
282,503,173.999760,0.406327,4.057176,5683.292391,1123.807489,3.675029,20.712680,0.140144,1.000000
282,535,174.087710,0.839240,3.434353,4458.615279,1005.471411,2.667620,20.586278,0.076130,1.000000
283,232,175.584420,-0.204536,2.509282,3960.043896,1128.448432,2.257499,20.364665,0.053829,1.000000
283,240,175.620940,-0.513903,2.900386,4009.590312,1027.998310,2.298256,20.484431,0.137642,0.925000
286,183,181.173840,-0.363753,5.031900,5645.468649,935.935396,3.643915,20.593006,0.152758,0.412500
286,585,182.198500,0.722693,2.718579,4386.316848,1179.567998,2.608148,20.598585,0.039910,1.000000
286,598,182.145190,0.346625,2.696107,4448.360749,1203.525995,2.659184,20.359826,0.118387,1.000000
289,88,187.200890,-1.070707,2.653232,3967.345289,1085.982271,2.263505,20.487517,0.045017,1.000000
289,216,186.726620,-0.908470,2.609754,4000.368510,1108.210813,2.290670,20.783622,0.044106,1.000000
289,216,186.726620,-0.908470,2.609754,4339.103406,1202.049587,2.569310,20.326447,0.239177,0.250000
289,216,186.726620,-0.908470,2.609754,4435.065110,1228.633587,2.648248,20.596813,0.128111,1.000000
291,612,191.464360,1.084733,2.806592,3850.348147,1011.494838,2.167264,20.709657,0.102214,1.000000
293,127,194.496750,-1.191740,4.119818,6105.201468,1192.464501,4.022088,20.350269,0.067682,1.000000
296,329,199.309260,1.003636,2.695484,4298.332425,1163.131139,2.535772,21.001530,0.110404,1.000000
300,465,207.036650,0.623110,3.611425,4682.739514,1015.464762,2.851982,21.105237,0.044130,1.000000
302,438,211.475280,-0.010249,3.550000,4419.773361,971.378771,2.635669,20.448337,0.116673,0.412500
302,438,211.475280,-0.010249,3.550000,4491.588901,987.162406,2.694744,20.558393,0.067435,1.000000
302,438,211.475280,-0.010249,3.550000,4663.371347,1024.916790,2.836050,20.765369,0.150859,0.262500
